"","symbol","date","open","high","low","close","volume","adjusted"
"239","DIS",2020-08-05,123.370003,130.309998,123.279999,127.610001,53122400,127.610001
"240","DIS",2020-08-06,126.959999,131.630005,125.610001,130.820007,27238000,130.820007
"241","DIS",2020-08-07,130.220001,131.940002,128.660004,129.929993,16082300,129.929993
"242","DIS",2020-08-10,129.75,131.320007,128.490005,128.789993,8529200,128.789993
"243","DIS",2020-08-11,130.529999,132.759995,130,130.490005,13885700,130.490005
"244","DIS",2020-08-12,130.669998,133,130.490005,131.789993,12205200,131.789993
"245","DIS",2020-08-13,130.639999,132.350006,130.449997,130.960007,6468600,130.960007
"246","DIS",2020-08-14,130.009995,131.080002,129.740005,130.529999,6507600,130.529999
"247","DIS",2020-08-17,130.100006,130.139999,128.539993,129.369995,7492200,129.369995
"248","DIS",2020-08-18,129.440002,129.589996,128.360001,128.919998,6714600,128.919998
"249","DIS",2020-08-19,129.25,130.220001,127.43,127.769997,7624200,127.769997
"250","DIS",2020-08-20,126.800003,128.449997,126.529999,128.119995,4918100,128.119995
"251","DIS",2020-08-21,127.720001,128.309998,127.230003,127.440002,6064700,127.440002
"252","DIS",2020-08-24,128.149994,130.880005,127.93,130.690002,7613600,130.690002
"253","DIS",2020-08-25,130.830002,131.089996,129.309998,129.789993,5494400,129.789993
"254","DIS",2020-08-26,130,132.600006,129.520004,132.179993,8447800,132.179993
"255","DIS",2020-08-27,133,136.360001,132.820007,133.729996,13667600,133.729996
"256","DIS",2020-08-28,134.5,136.800003,133.580002,135.539993,11020100,135.539993
"257","DIS",2020-08-31,135.25,135.539993,131.25,131.869995,11617500,131.869995
"258","DIS",2020-09-01,131.919998,133.610001,130.889999,133.550003,8344100,133.550003
"259","DIS",2020-09-02,133.630005,135.919998,133.259995,135.389999,8187800,135.389999
"260","DIS",2020-09-03,135.240005,137.240005,132.020004,133.240005,12079200,133.240005
"261","DIS",2020-09-04,133.75,134.880005,129.419998,131.990005,11248300,131.990005
"262","DIS",2020-09-08,131.990005,137.139999,130.860001,134.199997,17257300,134.199997
"263","DIS",2020-09-09,134.279999,135.550003,132.259995,133.360001,8891800,133.360001
"264","DIS",2020-09-10,133.580002,136.75,132.740005,133.220001,9853400,133.220001
"265","DIS",2020-09-11,133.740005,133.740005,131.089996,131.75,7165300,131.75
"266","DIS",2020-09-14,132.529999,132.929993,130.899994,131.25,8391900,131.25
"267","DIS",2020-09-15,131.460007,132.539993,131.009995,131.240005,7289100,131.240005
"268","DIS",2020-09-16,132.169998,133.619995,131.399994,132.089996,6601000,132.089996
"269","DIS",2020-09-17,130.550003,131.770004,128.600006,130.220001,6723500,130.220001
"270","DIS",2020-09-18,129.5,130.789993,128.119995,128.630005,9916300,128.630005
"271","DIS",2020-09-21,125.980003,126.889999,123.589996,125.410004,10352700,125.410004
"272","DIS",2020-09-22,125.260002,127.470001,124.699997,127.209999,6978800,127.209999
"273","DIS",2020-09-23,127.07,127.300003,122.900002,123.279999,8323600,123.279999
"274","DIS",2020-09-24,121.93,123.800003,120.779999,122.489998,8480000,122.489998
"275","DIS",2020-09-25,121.360001,124.190002,120.980003,124,6851800,124
"276","DIS",2020-09-28,125.75,126.860001,125.370003,125.989998,6283700,125.989998
"277","DIS",2020-09-29,125.919998,126.290001,123.68,125.400002,7405800,125.400002
"278","DIS",2020-09-30,123.239998,125.550003,123.239998,124.080002,13556800,124.080002
"279","DIS",2020-10-01,124.940002,125.470001,122.419998,123.309998,8908300,123.309998
"280","DIS",2020-10-02,121.989998,123.68,121.690002,122.550003,6490200,122.550003
"281","DIS",2020-10-05,123.260002,123.599998,122.330002,123.370003,5919200,123.370003
"282","DIS",2020-10-06,123.129997,124.190002,120.610001,120.93,9052000,120.93
"283","DIS",2020-10-07,121.949997,123.309998,120.93,122.910004,10187800,122.910004
"284","DIS",2020-10-08,123.580002,123.75,122.419998,123.089996,7404600,123.089996
"285","DIS",2020-10-09,123.849998,125.550003,123.330002,124.980003,11502200,124.980003
"286","DIS",2020-10-12,124.900002,125.940002,123.730003,124.970001,10958200,124.970001
"287","DIS",2020-10-13,129.800003,131.360001,127.900002,128.960007,22389000,128.960007
"288","DIS",2020-10-14,129.139999,129.5,125.290001,126.589996,11536600,126.589996
"289","DIS",2020-10-15,125,127.400002,124.43,127.360001,7744000,127.360001
"290","DIS",2020-10-16,127.809998,128.119995,126.330002,126.809998,6291700,126.809998
"291","DIS",2020-10-19,127.370003,127.400002,123.709999,124.230003,6576900,124.230003
"292","DIS",2020-10-20,124.580002,125.730003,123.639999,124.949997,6161200,124.949997
"293","DIS",2020-10-21,124.360001,127.559998,123.839996,126.629997,6591500,126.629997
"294","DIS",2020-10-22,126.669998,128.100006,125.970001,127.559998,5177700,127.559998
"295","DIS",2020-10-23,128.100006,128.5,126.349998,128.350006,5439900,128.350006
"296","DIS",2020-10-26,127.110001,127.110001,122.949997,124.059998,8578900,124.059998
"297","DIS",2020-10-27,124.029999,124.610001,123.029999,123.309998,6813800,123.309998
"298","DIS",2020-10-28,121.010002,121.529999,118.32,118.470001,11654700,118.470001
"299","DIS",2020-10-29,118.160004,122.629997,117.230003,121.540001,9583700,121.540001
"300","DIS",2020-10-30,120.639999,121.75,119.089996,121.25,8090200,121.25
"301","DIS",2020-11-02,122.239998,122.93,119.809998,120.129997,9186000,120.129997
"302","DIS",2020-11-03,121.610001,125.07,121.370003,124.019997,8144900,124.019997
"303","DIS",2020-11-04,123.580002,126.860001,123.410004,125.07,7483000,125.07
"304","DIS",2020-11-05,126.779999,128.619995,125.800003,126.959999,7654800,126.959999
"305","DIS",2020-11-06,126.260002,128.039993,124.610001,127.459999,6259700,127.459999
"306","DIS",2020-11-09,140.259995,147.679993,138.070007,142.589996,35634700,142.589996
"307","DIS",2020-11-10,139.970001,142.369995,137.669998,142.110001,18115400,142.110001
"308","DIS",2020-11-11,141.470001,142,136.619995,137.820007,9600900,137.820007
"309","DIS",2020-11-12,136.339996,138.490005,134.100006,135.520004,13768200,135.520004
"310","DIS",2020-11-13,140.899994,141.190002,136.520004,138.360001,21062300,138.360001
"311","DIS",2020-11-16,141.570007,144.740005,141.570007,144.669998,16382500,144.669998
"312","DIS",2020-11-17,144.399994,144.830002,142.559998,144.5,9354900,144.5
"313","DIS",2020-11-18,144.5,145.479996,143.350006,143.899994,9456200,143.899994
"314","DIS",2020-11-19,142.570007,143.300003,141.699997,141.720001,8892500,141.720001
"315","DIS",2020-11-20,141.710007,142.610001,140.860001,141.070007,8481600,141.070007
"316","DIS",2020-11-23,142.449997,147.75,141.699997,145.979996,12887000,145.979996
"317","DIS",2020-11-24,148.160004,151.860001,147.850006,151.490005,16711700,151.490005
"318","DIS",2020-11-25,150.270004,150.270004,147.240005,149.089996,9552000,149.089996
"319","DIS",2020-11-27,149,150.350006,146.529999,147.130005,5306400,147.130005
"320","DIS",2020-11-30,147.059998,148.690002,146.289993,148.009995,9710100,148.009995
"321","DIS",2020-12-01,149.570007,151.399994,149,149.440002,8827800,149.440002
