"","symbol","date","adjusted","macd","signal","diff"
"106","NKE",2020-11-30,134.429535,2.47291472484295,1.4891010440286,0.983813680814349
"107","NKE",2020-12-01,135.168045,2.87402573029101,1.77617172807994,1.09785400221107
"108","PG",2020-07-01,118.569275,NA,NA,NA
"109","PG",2020-07-02,119.458687,NA,NA,NA
"110","PG",2020-07-06,120.199867,NA,NA,NA
"111","PG",2020-07-07,120.782936,NA,NA,NA
"112","PG",2020-07-08,121.445053,NA,NA,NA
"113","PG",2020-07-09,121.039879,NA,NA,NA
"114","PG",2020-07-10,122.433296,NA,NA,NA
"115","PG",2020-07-13,122.591423,NA,NA,NA
"116","PG",2020-07-14,123.619186,NA,NA,NA
"117","PG",2020-07-15,123.036125,NA,NA,NA
"118","PG",2020-07-16,123.293068,NA,NA,NA
"119","PG",2020-07-17,124.152832,NA,NA,NA
"120","PG",2020-07-20,123.767426,NA,NA,NA
"121","PG",2020-07-21,123.599419,NA,NA,NA
"122","PG",2020-07-22,124.656845,NA,NA,NA
"123","PG",2020-07-23,125.463371,NA,NA,NA
"124","PG",2020-07-24,125.264465,NA,NA,NA
"125","PG",2020-07-27,125.622482,NA,NA,NA
"126","PG",2020-07-28,127.173866,NA,NA,NA
"127","PG",2020-07-29,127.601494,NA,NA,NA
"128","PG",2020-07-30,130.694321,NA,NA,NA
"129","PG",2020-07-31,130.395966,NA,NA,NA
"130","PG",2020-08-03,130.565033,NA,NA,NA
"131","PG",2020-08-04,133.051224,NA,NA,NA
"132","PG",2020-08-05,132.703171,NA,NA,NA
"133","PG",2020-08-06,131.977203,2.59896090347695,NA,NA
"134","PG",2020-08-07,132.812561,2.66364712929168,NA,NA
"135","PG",2020-08-10,133.359528,2.77336281705576,NA,NA
"136","PG",2020-08-11,132.494324,2.88867972042499,NA,NA
"137","PG",2020-08-12,134.712021,3.07404238995117,NA,NA
"138","PG",2020-08-13,135.030243,3.18847332954855,NA,NA
"139","PG",2020-08-14,134.354004,3.23875013310049,NA,NA
"140","PG",2020-08-17,134.751785,3.14544085586199,NA,NA
"141","PG",2020-08-18,135.75621,3.11076120038485,2.96467983101071,0.146081369374134
"142","PG",2020-08-19,135.020309,3.07230326116621,3.01727342630952,0.0550298348566889
"143","PG",2020-08-20,136.094345,2.89328223550307,3.04278843811079,-0.149506202607717
"144","PG",2020-08-21,136.681076,2.76519755391129,3.04188118665029,-0.276683632738998
"145","PG",2020-08-24,137.745163,2.74569324317229,3.02599380028888,-0.280300557116592
"146","PG",2020-08-25,138.29213,2.68008604784213,2.98222087338787,-0.30213482554574
"147","PG",2020-08-26,137.625839,2.55343091558928,2.91166060517018,-0.358229689580895
"148","PG",2020-08-27,137.446838,2.50768645935153,2.83043130808696,-0.322744848735429
"149","PG",2020-08-28,138.003738,2.3425376969574,2.74121984598645,-0.398682149029049
"150","PG",2020-08-31,137.566162,2.13850295533622,2.63319115209216,-0.49468819675594
"151","PG",2020-09-01,137.416992,1.98345082416549,2.51220754798097,-0.528756723815479
"152","PG",2020-09-02,139.734116,1.92592941517995,2.4047239012784,-0.47879448609845
"153","PG",2020-09-03,137.496552,1.74610905960444,2.29149184635542,-0.545382786750976
"154","PG",2020-09-04,137.198212,1.69214367457098,2.17443078317749,-0.482287108606514
"155","PG",2020-09-08,135.189362,1.49812893567975,2.04310221515945,-0.544973279479696
"156","PG",2020-09-09,137.387146,1.34530581597307,1.90886609297987,-0.563560277006797
"157","PG",2020-09-10,135.94516,1.15189304138414,1.75822237987238,-0.60632933848824
"158","PG",2020-09-11,137.377213,0.962203459928701,1.60485190909142,-0.642648449162716
"159","PG",2020-09-14,137.864517,0.809048774139365,1.45713477784732,-0.648086003707957
"160","PG",2020-09-15,137.864517,0.691028141199346,1.31353225751775,-0.622504116318405
"161","PG",2020-09-16,136.939636,0.524631193073222,1.15783245506145,-0.633201261988226
"162","PG",2020-09-17,136.760635,0.354958084628731,1.00326012450859,-0.648302039879859
"163","PG",2020-09-18,136.611465,0.252334952175515,0.843281377575761,-0.590946425400247
"164","PG",2020-09-21,135.955124,-0.00377211143395284,0.676403483452016,-0.680175594885969
"165","PG",2020-09-22,137.198212,-0.101766558312744,0.515617664086925,-0.617384222399669
"166","PG",2020-09-23,135.557312,-0.224144253789582,0.362724631289845,-0.586868885079427
"167","PG",2020-09-24,136.163956,-0.176299460781226,0.236224306766519,-0.412523767547746
"168","PG",2020-09-25,136.860077,-0.259849050782712,0.117457881775177,-0.37730693255789
"169","PG",2020-09-28,137.247925,-0.212961514697219,0.0170145866755591,-0.229976101372778
"170","PG",2020-09-29,136.502075,-0.261125822993868,-0.0702917484430064,-0.190834074550862
"171","PG",2020-09-30,138.222519,-0.252725819920141,-0.13781218228177,-0.114913637638371
"172","PG",2020-10-01,138.471146,-0.220880197438578,-0.190391643350003,-0.0304885540885751
"173","PG",2020-10-02,137.357315,-0.187992377081025,-0.210860561755233,0.0228681846742074
"174","PG",2020-10-05,138.620316,-0.107880144719497,-0.211539849133761,0.103659704414264
"175","PG",2020-10-06,138.839096,0.00399489804616682,-0.186191054485344,0.190185952531511
"176","PG",2020-10-07,139.92308,0.178757083034542,-0.146740327394703,0.325497410429245
"177","PG",2020-10-08,140.867828,0.304487967240652,-0.0840362142809963,0.388524181521648
"178","PG",2020-10-09,142.130814,0.635493762851636,0.010236594335543,0.625257168516092
"179","PG",2020-10-12,143.692154,0.916734200729685,0.141109930304827,0.775624270424858
"180","PG",2020-10-13,143.413696,1.13760719624898,0.29559137654584,0.84201581970314
"181","PG",2020-10-14,143.244629,1.27232856953525,0.461503461765155,0.810825107770098
"182","PG",2020-10-15,143.035797,1.50648566380036,0.649778799640864,0.856706864159497
"183","PG",2020-10-16,143.592697,1.61375150581942,0.841071205256299,0.772680300563117
"184","PG",2020-10-19,141.126404,1.66752377918853,1.02590774760545,0.641616031583079
"185","PG",2020-10-20,141.693237,1.81959933551359,1.20822355343646,0.611375782077133
"186","PG",2020-10-21,142.459,1.9200571159649,1.38773123662804,0.532325879336863
"187","PG",2020-10-22,141.449997,1.92457275101252,1.53096223531258,0.393610515699939
"188","PG",2020-10-23,142.380005,1.88859788447542,1.63894708906211,0.24965079541331
"189","PG",2020-10-26,141.300003,1.75830071716359,1.7079130358304,0.0503876813331883
"190","PG",2020-10-27,142.360001,1.56810502908078,1.74077708689101,-0.172672057810232
"191","PG",2020-10-28,137.660004,1.17215726871251,1.70362948743681,-0.531472218724292
"192","PG",2020-10-29,137.570007,0.744453439839798,1.60704081343907,-0.862587373599273
"193","PG",2020-10-30,137.100006,0.32888059867402,1.45830268227079,-1.12942208359677
"194","PG",2020-11-02,138.5,-0.0105101092321647,1.25495718841015,-1.26546729764232
"195","PG",2020-11-03,141.220001,-0.285413071371809,1.00990494537274,-1.29531801674455
"196","PG",2020-11-04,140.639999,-0.452253276538794,0.745813164533706,-1.1980664410725
"197","PG",2020-11-05,142.380005,-0.550034956354495,0.474853959997049,-1.02488891635154
"198","PG",2020-11-06,143.229996,-0.65913549104708,0.20624993686253,-0.865385427909611
"199","PG",2020-11-09,137.990005,-0.859522149974767,-0.0634864163658639,-0.796035733608904
"200","PG",2020-11-10,140.259995,-1.00787955284422,-0.305712729872167,-0.702166822972048
"201","PG",2020-11-11,142.070007,-1.028718527434,-0.502731837347034,-0.525986690086969
"202","PG",2020-11-12,142.149994,-1.08005987487432,-0.659280778852405,-0.420779096021913
"203","PG",2020-11-13,144.279999,-0.76134294193968,-0.74270664915324,-0.0186362927864402
"204","PG",2020-11-16,142.429993,-0.462278610885858,-0.762358375765912,0.300079764880054
"205","PG",2020-11-17,141.880005,-0.110343274796632,-0.724368375572338,0.614025100775707
"206","PG",2020-11-18,139.699997,0.0829145413615784,-0.654040653603886,0.736955194965464
"207","PG",2020-11-19,139.529999,0.106119235240909,-0.569012350682998,0.675131585923907
"208","PG",2020-11-20,139.300003,0.150605167403706,-0.45677598208539,0.607381149489095
"209","PG",2020-11-23,138.759995,0.0903920493732224,-0.33474580406123,0.425137853434452
"210","PG",2020-11-24,138.309998,-0.102510856666838,-0.231833840642656,0.129322983975819
"211","PG",2020-11-25,138.679993,0.0422765374803458,-0.107129794825471,0.149406332305817
"212","PG",2020-11-27,138.610001,0.0715107741267484,-0.0145904930403126,0.0861012671670611
"213","PG",2020-11-30,138.869995,-0.0478015770388973,0.0314625107204608,-0.0792640877593581
"214","PG",2020-12-01,139.369995,-0.130530334148915,0.0292195041257626,-0.159749838274678
"215","DIS",2020-07-01,113.010002,NA,NA,NA
"216","DIS",2020-07-02,112.18,NA,NA,NA
"217","DIS",2020-07-06,114.43,NA,NA,NA
"218","DIS",2020-07-07,113.629997,NA,NA,NA
